algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
dqn,2026,1,4,-10.04,4,0,1,0.9999366666666667,,
dqn,2026,2,8,-10.04,4,0,1,0.9998733333333333,,
dqn,2026,3,23,-10.15,15,0,1,0.9996358333333333,,
dqn,2026,4,26,-10.03,3,0,1,0.9995883333333333,,
dqn,2026,5,28,-10.02,2,0,1,0.9995566666666666,,
dqn,2026,6,31,-10.03,3,0,1,0.9995091666666667,,
dqn,2026,7,35,-10.04,4,0,1,0.9994458333333334,,
dqn,2026,8,62,-10.27,27,0,1,0.9990183333333333,,
dqn,2026,9,64,-10.02,2,0,1,0.9989866666666667,,
dqn,2026,10,73,-10.09,9,0,1,0.9988441666666666,,
dqn,2026,11,78,-10.049999999999999,5,0,1,0.998765,,
dqn,2026,12,83,-10.049999999999999,5,0,1,0.9986858333333334,,
dqn,2026,13,100,-10.17,17,0,1,0.9984166666666666,,
dqn,2026,14,108,-10.08,8,0,1,0.99829,,
dqn,2026,15,110,-10.02,2,0,1,0.9982583333333334,,
dqn,2026,16,121,-10.11,11,0,1,0.9980841666666667,,
dqn,2026,17,125,-10.04,4,0,1,0.9980208333333334,,
dqn,2026,18,132,-10.07,7,0,1,0.99791,,
dqn,2026,19,142,-10.1,10,0,1,0.9977516666666667,,
dqn,2026,20,158,-10.16,16,0,1,0.9974983333333334,,
dqn,2026,21,176,-10.18,18,0,1,0.9972133333333333,,
dqn,2026,22,183,-10.07,7,0,1,0.9971025,,
dqn,2026,23,222,-10.39,39,0,1,0.996485,,
dqn,2026,24,234,-10.12,12,0,1,0.996295,,
dqn,2026,25,255,-10.209999999999999,21,0,1,0.9959625,,
dqn,2026,26,259,-10.04,4,0,1,0.9958991666666667,,
dqn,2026,27,266,-10.07,7,0,1,0.9957883333333334,,
dqn,2026,28,287,-10.209999999999999,21,0,1,0.9954558333333333,,
dqn,2026,29,302,-10.15,15,0,1,0.9952183333333333,,
dqn,2026,30,310,-10.08,8,0,1,0.9950916666666667,,
dqn,2026,31,331,-10.209999999999999,21,0,1,0.9947591666666666,,
dqn,2026,32,340,-10.09,9,0,1,0.9946166666666667,,
dqn,2026,33,348,-10.08,8,0,1,0.99449,,
dqn,2026,34,352,-10.04,4,0,1,0.9944266666666667,,
dqn,2026,35,354,-10.02,2,0,1,0.994395,,
dqn,2026,36,357,-10.03,3,0,1,0.9943475,,
dqn,2026,37,369,-10.12,12,0,1,0.9941575,,
dqn,2026,38,376,-10.07,7,0,1,0.9940466666666666,,
dqn,2026,39,383,-10.07,7,0,1,0.9939358333333334,,
dqn,2026,40,385,-10.02,2,0,1,0.9939041666666667,,
dqn,2026,41,388,-10.03,3,0,1,0.9938566666666667,,
dqn,2026,42,391,-10.03,3,0,1,0.9938091666666666,,
dqn,2026,43,396,-10.049999999999999,5,0,1,0.99373,,
dqn,2026,44,398,-10.02,2,0,1,0.9936983333333334,,
dqn,2026,45,408,-10.1,10,0,1,0.99354,,
dqn,2026,46,412,-10.04,4,0,1,0.9934766666666667,,
dqn,2026,47,420,-10.08,8,0,1,0.99335,,
dqn,2026,48,424,-10.04,4,0,1,0.9932866666666667,,
dqn,2026,49,431,-10.07,7,0,1,0.9931758333333334,,
dqn,2026,50,441,-10.1,10,0,1,0.9930175,,
dqn,2026,51,442,-10.01,1,0,1,0.9930016666666667,,
dqn,2026,52,448,-10.06,6,0,1,0.9929066666666667,,
dqn,2026,53,449,-10.01,1,0,1,0.9928908333333333,,
dqn,2026,54,463,-10.14,14,0,1,0.9926691666666667,,
dqn,2026,55,505,-10.42,42,0,1,0.9920041666666667,,
dqn,2026,56,507,-10.02,2,0,1,0.9919725,,
dqn,2026,57,511,-10.04,4,0,1,0.9919091666666666,,
dqn,2026,58,515,-10.04,4,0,1,0.9918458333333333,,
dqn,2026,59,519,-10.04,4,0,1,0.9917825,,
dqn,2026,60,534,-10.15,15,0,1,0.991545,,
dqn,2026,61,544,-10.1,10,0,1,0.9913866666666666,,
dqn,2026,62,551,-10.07,7,0,1,0.9912758333333334,,
dqn,2026,63,560,-10.09,9,0,1,0.9911333333333333,,
dqn,2026,64,565,-10.049999999999999,5,0,1,0.9910541666666667,,
dqn,2026,65,580,-10.15,15,0,1,0.9908166666666667,,
dqn,2026,66,599,-10.19,19,0,1,0.9905158333333334,,
dqn,2026,67,615,-10.16,16,0,1,0.9902625,,
dqn,2026,68,617,-10.02,2,0,1,0.9902308333333333,,
dqn,2026,69,625,-10.08,8,0,1,0.9901041666666667,,
dqn,2026,70,628,-10.03,3,0,1,0.9900566666666667,,
dqn,2026,71,630,-10.02,2,0,1,0.990025,,
dqn,2026,72,635,-10.049999999999999,5,0,1,0.9899458333333333,,
dqn,2026,73,643,-10.08,8,0,1,0.9898191666666667,,
dqn,2026,74,655,-10.12,12,0,1,0.9896291666666667,,
dqn,2026,75,659,-10.04,4,0,1,0.9895658333333334,,
dqn,2026,76,661,-10.02,2,0,1,0.9895341666666667,,
dqn,2026,77,668,-10.07,7,0,1,0.9894233333333333,,
dqn,2026,78,671,-10.03,3,0,1,0.9893758333333333,,
dqn,2026,79,677,-10.06,6,0,1,0.9892808333333334,,
dqn,2026,80,694,-10.17,17,0,1,0.9890116666666666,,
dqn,2026,81,703,-10.09,9,0,1,0.9888691666666667,,
dqn,2026,82,708,-10.049999999999999,5,0,1,0.98879,,
dqn,2026,83,718,-10.1,10,0,1,0.9886316666666667,,
dqn,2026,84,734,-10.16,16,0,1,0.9883783333333334,,
dqn,2026,85,736,-10.02,2,0,1,0.9883466666666667,,
dqn,2026,86,743,-10.07,7,0,1,0.9882358333333333,,
dqn,2026,87,747,-10.04,4,0,1,0.9881725,,
dqn,2026,88,757,-10.1,10,0,1,0.9880141666666666,,
dqn,2026,89,759,-10.02,2,0,1,0.9879825,,
dqn,2026,90,761,-10.02,2,0,1,0.9879508333333333,,
dqn,2026,91,772,-10.11,11,0,1,0.9877766666666666,,
dqn,2026,92,790,-10.18,18,0,1,0.9874916666666667,,
dqn,2026,93,800,-10.1,10,0,1,0.9873333333333333,,
dqn,2026,94,807,-10.07,7,0,1,0.9872225,,
dqn,2026,95,810,-10.03,3,0,1,0.987175,,
