algorithm,train_seed,episode,episode_seed,return,steps,success,collision
ddqn,123,1,10000,9.42,58,1,0
ddqn,123,2,10001,8.62,138,1,0
ddqn,123,3,10002,9.77,23,1,0
ddqn,123,4,10003,9.59,41,1,0
ddqn,123,5,10004,9.09,91,1,0
ddqn,123,6,10005,9.51,49,1,0
ddqn,123,7,10006,8.93,107,1,0
ddqn,123,8,10007,9.83,17,1,0
ddqn,123,9,10008,8.6,140,1,0
ddqn,123,10,10009,9.73,27,1,0
ddqn,123,11,10010,9.82,18,1,0
ddqn,123,12,10011,9.56,44,1,0
ddqn,123,13,10012,9.0,100,1,0
ddqn,123,14,10013,9.72,28,1,0
ddqn,123,15,10014,9.72,28,1,0
ddqn,123,16,10015,9.63,37,1,0
ddqn,123,17,10016,9.57,43,1,0
ddqn,123,18,10017,9.16,84,1,0
ddqn,123,19,10018,9.43,57,1,0
ddqn,123,20,10019,8.67,133,1,0
ddqn,123,21,10020,8.579999999999998,142,1,0
ddqn,123,22,10021,9.37,63,1,0
ddqn,123,23,10022,9.72,28,1,0
ddqn,123,24,10023,9.129999999999999,87,1,0
ddqn,123,25,10024,9.5,50,1,0
ddqn,123,26,10025,9.49,51,1,0
ddqn,123,27,10026,9.35,65,1,0
ddqn,123,28,10027,9.63,37,1,0
ddqn,123,29,10028,9.75,25,1,0
ddqn,123,30,10029,9.42,58,1,0
