algorithm,train_seed,episode,episode_seed,return,steps,success,collision
dqn,123,1,10000,-2.5599999999999894,256,0,0
dqn,123,2,10001,-2.5599999999999894,256,0,0
dqn,123,3,10002,-2.5599999999999894,256,0,0
dqn,123,4,10003,-2.5599999999999894,256,0,0
dqn,123,5,10004,-2.5599999999999894,256,0,0
dqn,123,6,10005,-2.5599999999999894,256,0,0
dqn,123,7,10006,-2.5599999999999894,256,0,0
dqn,123,8,10007,-2.5599999999999894,256,0,0
dqn,123,9,10008,-2.5599999999999894,256,0,0
dqn,123,10,10009,-2.5599999999999894,256,0,0
dqn,123,11,10010,-2.5599999999999894,256,0,0
dqn,123,12,10011,-2.5599999999999894,256,0,0
dqn,123,13,10012,-2.5599999999999894,256,0,0
dqn,123,14,10013,-2.5599999999999894,256,0,0
dqn,123,15,10014,-2.5599999999999894,256,0,0
dqn,123,16,10015,-2.5599999999999894,256,0,0
dqn,123,17,10016,-2.5599999999999894,256,0,0
dqn,123,18,10017,-2.5599999999999894,256,0,0
dqn,123,19,10018,-2.5599999999999894,256,0,0
dqn,123,20,10019,-2.5599999999999894,256,0,0
dqn,123,21,10020,-2.5599999999999894,256,0,0
dqn,123,22,10021,-2.5599999999999894,256,0,0
dqn,123,23,10022,-2.5599999999999894,256,0,0
dqn,123,24,10023,-2.5599999999999894,256,0,0
dqn,123,25,10024,-2.5599999999999894,256,0,0
dqn,123,26,10025,-2.5599999999999894,256,0,0
dqn,123,27,10026,-2.5599999999999894,256,0,0
dqn,123,28,10027,-2.5599999999999894,256,0,0
dqn,123,29,10028,-2.5599999999999894,256,0,0
dqn,123,30,10029,-2.5599999999999894,256,0,0
